FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Geographic Identifier,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",6,37,101110,14000US06037101110,4314,1743,1596,767,829
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",6,37,101122,14000US06037101122,3239,1391,1256,1026,230
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",6,37,101210,14000US06037101210,6052,2402,2321,337,1984
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",6,37,101220,14000US06037101220,3497,1328,1294,471,823
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",6,37,101300,14000US06037101300,4297,1584,1435,1268,167
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6,37,101400,14000US06037101400,3851,1614,1473,1049,424
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",6,37,102103,14000US06037102103,1771,726,696,457,239
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",6,37,102104,14000US06037102104,3554,1345,1270,895,375
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",6,37,102105,14000US06037102105,1857,589,563,270,293
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",6,37,102107,14000US06037102107,4333,1352,1305,970,335
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",6,37,103101,14000US06037103101,2597,976,916,781,135
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",6,37,103102,14000US06037103102,4456,1700,1568,1233,335
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",6,37,103200,14000US06037103200,6726,2349,2274,1442,832
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",6,37,103300,14000US06037103300,3549,1396,1225,1037,188
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",6,37,103400,14000US06037103400,6662,2507,2432,1515,917
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",6,37,104103,14000US06037104103,3647,877,845,705,140
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",6,37,104105,14000US06037104105,6190,1689,1673,940,733
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",6,37,104108,14000US06037104108,5420,1452,1421,613,808
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",6,37,104124,14000US06037104124,4189,1335,1260,1045,215
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",6,37,104201,14000US06037104201,4424,919,919,608,311
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",6,37,104203,14000US06037104203,5541,1161,1145,526,619
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",6,37,104204,14000US06037104204,3562,771,730,471,259
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",6,37,104310,14000US06037104310,5313,897,879,632,247
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",6,37,104320,14000US06037104320,5599,1346,1326,563,763
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",6,37,104401,14000US06037104401,3452,713,689,430,259
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",6,37,104403,14000US06037104403,3279,714,665,454,211
6037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",6,37,104404,14000US06037104404,3128,694,658,306,352
6037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",6,37,104500,14000US06037104500,2950,657,610,457,153
6037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",6,37,104610,14000US06037104610,3504,756,729,449,280
6037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",6,37,104620,14000US06037104620,3684,728,711,414,297
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",6,37,104701,14000US06037104701,4325,962,949,220,729
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",6,37,104703,14000US06037104703,2311,653,603,218,385
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",6,37,104704,14000US06037104704,4331,1221,1183,739,444
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",6,37,104810,14000US06037104810,5789,1095,1076,779,297
6037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",6,37,104821,14000US06037104821,3361,778,750,431,319
6037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",6,37,104822,14000US06037104822,2748,637,610,222,388
6037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",6,37,106010,14000US06037106010,3108,983,945,690,255
6037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",6,37,106020,14000US06037106020,5807,1498,1475,1215,260
6037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",6,37,106111,14000US06037106111,4482,1417,1326,1168,158
6037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",6,37,106112,14000US06037106112,5885,1531,1472,1269,203
6037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",6,37,106113,14000US06037106113,3962,1055,972,792,180
6037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",6,37,106114,14000US06037106114,6410,1653,1592,704,888
6037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",6,37,106403,14000US06037106403,3431,901,809,689,120
6037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",6,37,106405,14000US06037106405,4813,1225,1225,483,742
6037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",6,37,106406,14000US06037106406,5860,1702,1645,1222,423
6037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",6,37,106407,14000US06037106407,3272,948,891,216,675
6037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",6,37,106408,14000US06037106408,3817,1043,961,133,828
6037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",6,37,106510,14000US06037106510,5347,1698,1600,1040,560
6037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",6,37,106520,14000US06037106520,5879,1492,1440,913,527
6037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",6,37,106603,14000US06037106603,3222,1007,969,832,137
6037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",6,37,106604,14000US06037106604,5143,1236,1163,595,568
6037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",6,37,106641,14000US06037106641,2352,802,792,724,68
6037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",6,37,106642,14000US06037106642,3016,1086,1025,970,55
6037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",6,37,106643,14000US06037106643,4599,1362,1336,1144,192
6037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",6,37,106645,14000US06037106645,3491,1228,1142,1022,120
6037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",6,37,106646,14000US06037106646,3439,998,969,873,96
6037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",6,37,106648,14000US06037106648,4569,1090,1032,495,537
6037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",6,37,106649,14000US06037106649,2599,753,702,543,159
6037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",6,37,107010,14000US06037107010,3093,759,739,546,193
6037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",6,37,107020,14000US06037107020,5442,1317,1250,879,371
6037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",6,37,108101,14000US06037108101,2417,823,765,629,136
6037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",6,37,108102,14000US06037108102,3677,1271,1217,1059,158
6037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",6,37,108103,14000US06037108103,3153,1100,1050,933,117
6037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",6,37,108104,14000US06037108104,1922,598,570,502,68
6037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",6,37,108201,14000US06037108201,5501,1952,1828,1388,440
6037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",6,37,108202,14000US06037108202,7561,2866,2772,1776,996
6037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",6,37,109100,14000US06037109100,2738,793,777,582,195
6037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",6,37,109200,14000US06037109200,2995,1069,950,745,205
6037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",6,37,109300,14000US06037109300,3247,920,914,710,204
6037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",6,37,109400,14000US06037109400,3959,1124,1060,788,272
6037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",6,37,109500,14000US06037109500,4821,1078,1030,585,445
6037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",6,37,109601,14000US06037109601,4938,1340,1267,1049,218
6037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",6,37,109603,14000US06037109603,4476,1335,1303,787,516
6037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",6,37,109604,14000US06037109604,3088,921,904,712,192
6037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",6,37,109700,14000US06037109700,4568,1393,1350,1156,194
6037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",6,37,109800,14000US06037109800,5398,1497,1445,1095,350
6037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",6,37,111100,14000US06037111100,3128,974,948,744,204
6037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",6,37,111201,14000US06037111201,3485,1156,1128,1002,126
6037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",6,37,111202,14000US06037111202,5329,1964,1657,1145,512
6037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",6,37,111204,14000US06037111204,6153,1994,1966,1883,83
6037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",6,37,111205,14000US06037111205,4064,1336,1314,694,620
6037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",6,37,111206,14000US06037111206,4382,1600,1517,1361,156
6037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",6,37,111301,14000US06037111301,7151,2906,2689,918,1771
6037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",6,37,111302,14000US06037111302,5325,1870,1817,993,824
6037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",6,37,111400,14000US06037111400,8066,2878,2878,1100,1778
6037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",6,37,113101,14000US06037113101,3699,1141,1091,832,259
6037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",6,37,113102,14000US06037113102,2928,1000,972,917,55
6037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",6,37,113211,14000US06037113211,3929,1659,1607,1329,278
6037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",6,37,113212,14000US06037113212,3272,1088,1088,682,406
6037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",6,37,113213,14000US06037113213,5059,1710,1684,1032,652
6037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",6,37,113231,14000US06037113231,2424,850,837,666,171
6037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",6,37,113232,14000US06037113232,4358,1419,1390,1188,202
6037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",6,37,113233,14000US06037113233,7624,2677,2508,618,1890
6037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",6,37,113234,14000US06037113234,4818,1632,1525,756,769
6037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",6,37,113235,14000US06037113235,1834,768,712,498,214
6037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",6,37,113237,14000US06037113237,4145,1523,1435,896,539
6037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",6,37,113301,14000US06037113301,2960,1308,1120,592,528
6037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",6,37,113303,14000US06037113303,4307,1417,1410,1261,149
6037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",6,37,113321,14000US06037113321,6420,2536,2495,607,1888
6037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",6,37,113322,14000US06037113322,4284,1438,1427,1195,232
6037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",6,37,113401,14000US06037113401,6284,1912,1860,1250,610
